c9295f33-b812-4051-843b-577aa012a826,2018-12-10,Info,storage.jobAd.JobAdManager,Sikeres hozzáadás
99846934-acbc-43f4-a4ee-c785cd1b6490,2018-12-10,Info,storage.subscribe.SubscribeManager,Sikeres hozzáadás
6952e5a9-da6f-4fe7-8ef7-4c18bb7aa655,2018-12-10,Info,storage.subscribe.SubscribeManager,Sikeres törlés
8ccb350e-2bc7-4575-b552-7badf887e173,2018-12-10,Info,storage.jobAd.JobAdManager,Sikeres hozzáadás
53df5ef6-deeb-4649-b144-ed596cd5f83f,2018-12-10,Info,storage.subscribe.SubscribeManager,Sikeres hozzáadás
d9f09653-c971-47ee-bbf4-0b943674fcab,2018-12-10,Info,storage.subscribe.SubscribeManager,Sikeres törlés
22ca267a-dfe9-4b70-90ee-be26df27c9f1,2018-12-10,Info,storage.subscribe.SubscribeManager,Sikeres hozzáadás
f7ce8224-0f22-42a8-bbc9-2872dbacf9e5,2018-12-10,Info,storage.subscribe.SubscribeManager,Sikeres törlés
35e85935-cf6e-47a6-8afb-1669aa411538,2018-12-10,Info,storage.subscribe.SubscribeManager,Sikeres hozzáadás
c82a849a-5cbd-406a-8859-0f2a5e91c49a,2018-12-10,Info,storage.subscribe.SubscribeManager,Sikeres hozzáadás
cb3c519d-7a98-4a24-ab1a-c966d68424dc,2018-12-10,Info,storage.subscribe.SubscribeManager,Sikeres törlés
1109b10f-3c69-4804-9fae-d470a2427af6,2018-12-10,Info,storage.handledSubscribtions.HandledSubscriptionsManager,Sikeres hozzáadás
